SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,LATITUDE,LONGITUDE
PAST SALE,June-7-2019,Single Family Residential,103 E Washington St,Chagrin Falls,OH,44022,3000,3,2,Chagrin Falls,2452,14810,1910,606,1,0,Sold,41.430227,-81.3879051
PAST SALE,July-12-2019,Single Family Residential,50 Lyndale Dr,Chagrin Falls,OH,44022,268000,3,2,Chagrin Falls,1794,14374,1965,571,149,0,Sold,41.4357133,-81.3932302
PAST SALE,March-8-2019,Single Family Residential,10511 Reno Ave,Cleveland,OH,44105,10000,5,2,Coe Brainard & Cheneys Allotm,1632,4356,1924,697,6,0,Sold,41.4552687,-81.6109556
PAST SALE,October-4-2019,Single Family Residential,4741 E 90th St,Garfield Heights,OH,44125,80000,3,1,Seltzer Round Garfield Pkwy,1348,5227,1926,487,59,0,Sold,41.4304741,-81.6223673
PAST SALE,April-28-2020,Single Family Residential,18319 Maple Heights Blvd,Maple Heights,OH,44137,118500,3,1.5,Maplehts Resub,1334,5227,1949,280,89,0,Sold,41.4140933,-81.5521225
PAST SALE,May-8-2020,Single Family Residential,5210 Philip Ave,Maple Heights,OH,44137,26000,3,1.5,Philips Raimers 03,1668,5227,1931,270,16,0,Sold,41.4191004,-81.5578644
PAST SALE,June-28-2019,Single Family Residential,6892 Brecksville Rd,Independence,OH,44131,311000,3,2,Independence,2050,27878,1951,585,152,0,Sold,41.3748323,-81.6400894
PAST SALE,April-8-2019,Single Family Residential,4115 E 146th St,Cleveland,OH,44128,25000,3,1,Miles-Harvard Park 02,1076,4791,1928,666,23,0,Sold,41.4473314,-81.5794572
PAST SALE,March-4-2019,Single Family Residential,1909 Tampa Ave,Cleveland,OH,44109,98500,2,1,Cleveland,1232,3920,1941,701,80,0,Sold,41.4323909,-81.6946418
PAST SALE,March-25-2019,Single Family Residential,4912 Chestnut Rd,Independence,OH,44131,232600,3,1.5,Independence 02,1844,32670,1909,680,126,0,Sold,41.3843028,-81.6558816
PAST SALE,February-14-2019,Single Family Residential,5199 W Ash Rd,Independence,OH,44131,355000,4,3,Independence,2050,30056,1950,719,173,0,Sold,41.3893667,-81.6541485
PAST SALE,March-29-2019,Single Family Residential,5001 Cypress Pt,Independence,OH,44131,490000,4,3,Chestnut Woods Sec 03 Ph 02,2773,22651,2011,676,177,30,Sold,41.3754322,-81.6567507
PAST SALE,March-20-2019,Single Family Residential,758 E Clearview Ave,Seven Hills,OH,44131,126000,3,1.5,Seven Hills Prop Inc 02,1407,7840,1961,685,90,0,Sold,41.4006674,-81.6804834
PAST SALE,February-21-2019,Single Family Residential,5164 Turney Rd,Garfield Heights,OH,44125,62000,3,2,Schmitt,1366,6969,1949,712,45,0,Sold,41.4208145,-81.609251
